2024-05-14 18:47:27,598 INFO    StreamThr :2062369 [internal.py:wandb_internal():85] W&B internal server running at pid: 2062369, started at: 2024-05-14 18:47:27.597394
2024-05-14 18:47:27,599 DEBUG   HandlerThread:2062369 [handler.py:handle_request():158] handle_request: status
2024-05-14 18:47:27,616 INFO    WriterThread:2062369 [datastore.py:open_for_write():87] open: /home/usuaris/imatge/joan.manel.cardenas/age_predictions/wandb/run-20240514_184727-17asbxlo/run-17asbxlo.wandb
2024-05-14 18:47:27,618 DEBUG   SenderThread:2062369 [sender.py:send():378] send: header
2024-05-14 18:47:27,627 DEBUG   SenderThread:2062369 [sender.py:send():378] send: run
2024-05-14 18:47:28,094 INFO    SenderThread:2062369 [dir_watcher.py:__init__():211] watching files in: /home/usuaris/imatge/joan.manel.cardenas/age_predictions/wandb/run-20240514_184727-17asbxlo/files
2024-05-14 18:47:28,094 INFO    SenderThread:2062369 [sender.py:_start_run_threads():1123] run started: 17asbxlo with start time 1715705247.600353
2024-05-14 18:47:28,118 DEBUG   HandlerThread:2062369 [handler.py:handle_request():158] handle_request: check_version
2024-05-14 18:47:28,119 DEBUG   SenderThread:2062369 [sender.py:send_request():405] send_request: check_version
2024-05-14 18:47:28,240 DEBUG   HandlerThread:2062369 [handler.py:handle_request():158] handle_request: run_start
2024-05-14 18:47:28,249 DEBUG   HandlerThread:2062369 [system_info.py:__init__():26] System info init
2024-05-14 18:47:28,249 DEBUG   HandlerThread:2062369 [system_info.py:__init__():41] System info init done
2024-05-14 18:47:28,249 INFO    HandlerThread:2062369 [system_monitor.py:start():194] Starting system monitor
2024-05-14 18:47:28,249 INFO    SystemMonitor:2062369 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-14 18:47:28,249 INFO    HandlerThread:2062369 [system_monitor.py:probe():214] Collecting system info
2024-05-14 18:47:28,250 INFO    SystemMonitor:2062369 [interfaces.py:start():188] Started cpu monitoring
2024-05-14 18:47:28,250 INFO    SystemMonitor:2062369 [interfaces.py:start():188] Started disk monitoring
2024-05-14 18:47:28,251 INFO    SystemMonitor:2062369 [interfaces.py:start():188] Started gpu monitoring
2024-05-14 18:47:28,252 INFO    SystemMonitor:2062369 [interfaces.py:start():188] Started memory monitoring
2024-05-14 18:47:28,253 INFO    SystemMonitor:2062369 [interfaces.py:start():188] Started network monitoring
2024-05-14 18:47:28,288 DEBUG   HandlerThread:2062369 [system_info.py:probe():150] Probing system
2024-05-14 18:47:28,290 DEBUG   HandlerThread:2062369 [system_info.py:_probe_git():135] Probing git
2024-05-14 18:47:28,298 DEBUG   HandlerThread:2062369 [system_info.py:_probe_git():143] Probing git done
2024-05-14 18:47:28,299 DEBUG   HandlerThread:2062369 [system_info.py:probe():198] Probing system done
